name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
2019-06-10T21_14_00.866379+00_00_LBL_D8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,10.86682598,0.535843494,0.600559838,0,0,1,0.300279919,0.267921747,5.433412992,3.221442797,0.09321286699999999,0.083168246,1.686639601,0.176381113,1.8630207140000001,0.034694965,0.030956235,0.06565119999999999,1.120774714,20.27985057,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_F8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,13.1725541,0.08522497300000001,0.8421274959999999,0,0,1,0.42022162,0.042527261,6.573104497,2.7395775610000004,0.153389204,0.015523292,2.39931316,0.168912495,2.568225656,0.045123587,0.004566597,0.049690184000000005,9.881229276000001,154.5621392,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_H8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.390957386,0.820552615,0.98872592,0,0,1,0.495351686,0.41109686,2.19986965,4.457611687,0.111124907,0.092223569,0.49350858799999997,0.203348477,0.696857065,0.074405268,0.061749608,0.136154876,1.204951275,5.351219781,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_A9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,1.110965122,0.45837766799999996,0.644869927,0,0,1,0.323079833,0.229647212,0.556593526,5.6224941479999995,0.057462013,0.040844366,0.098994061,0.09830638,0.19730044,0.052286009,0.03716523,0.089451238,1.406852847,2.423689459,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,62.9978022,1
2019-06-10T21_14_00.866379+00_00_LBL_C9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,11.87399522,0.116241181,0.50644234,0,0,1,0.25322117,0.058120591,5.93699761,3.230435443,0.07838608,0.017991565,1.837831994,0.096377645,1.934209639,0.027621818,0.006339898,0.033961716,4.356823758,102.14964350000001,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_E9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,1.5902672169999998,0.093559975,0.271805285,0,0,1,0.135902642,0.046779988,0.7951336090000001,5.87529258,0.023131212999999998,0.007962155,0.135335151,0.031093367,0.166428518,0.020373907,0.007013043,0.02738695,2.905144903,16.9973027,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,1
2019-06-10T21_14_00.866379+00_00_LBL_G9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.505757115,0.462129574,0.8683884690000001,0,0,1,0.434194235,0.231064787,2.252878557,4.659911173,0.093176505,0.049585662999999995,0.48345955,0.142762168,0.6262217179999999,0.062810277,0.033425693,0.096235969,1.8791017030000001,9.749986517,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_B9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,5.618944167,0.6946119359999999,1.1885678990000001,0,0,1,0.594283949,0.34730596799999996,2.809472083,4.100871918,0.14491648599999998,0.08469076199999999,0.6850914,0.229607248,0.914698648,0.085999185,0.050258854000000006,0.136258038,1.7111250709999999,8.08932855,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_D9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.611774929,0.331712639,1.0595324940000002,0,0,1,0.5297662470000001,0.165856319,2.305887465,4.59232925,0.115358943,0.036115947,0.502117191,0.15147489,0.653592081,0.076797565,0.024043362000000002,0.100840927,3.194127595,13.90292195,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,3
2019-06-10T21_14_00.866379+00_00_LBL_F9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,1.5902672169999998,0.269339322,0.90398472,0,0,1,0.45199236,0.134669661,0.7951336090000001,5.443821095,0.083028511,0.024738076,0.146061672,0.107766587,0.253828259,0.072446809,0.021585292000000002,0.09403210099999999,3.356304282,5.904326201,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,62.9978022,1
