InChI Key (ID),Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
UUDRLGYROXTISK-UHFFFAOYSA-N,Guanidinium iodide,GnNH3I,186.98,2.359388,"InChI=1S/CH5N3.HI/c2-1(3)4;/h(H5,2,3,4);1H",organic,C(=[NH2+])(N)N.[I-],CH6IN3,,"Model[Sample, Chemical, ""id:wqW9BP77nOOw""]","Object[Product, ""id:7X104vnndMM9""]",Guanidinium iodide 99%,"iodide"", ""Methylamine hydriodide"", ""Monomethylammonium iodide""",Sigma:806056-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806056?lang=en&region=US,PubChem
YMWUJEATGCHHMB-UHFFFAOYSA-N,Dichloromethane,DCM,84.93,1.33,InChI=1S/CH2Cl2/c2-1-3/h1H2,solvent,C(Cl)Cl,CH2Cl2,,,,,,,,
JMXLWMIFDJCGBV-UHFFFAOYSA-N,Dimethylammonium iodide,Me2NH2I,172.97,2.03749,"InChI=1S/C2H7N.HI/c1-3-2;/h3H,1-2H3;1H",organic,C[NH2+]C.[I-],C2H8IN,,,,,,greatcell: MS111100-100,,https://pubchem.ncbi.nlm.nih.gov/compound/12199010
KFQARYBEAKAXIC-UHFFFAOYSA-N,Phenylammonium Iodide,PhenylammoniumIodide,221.04,1.888168,"InChI=1S/C6H7N.HI/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H",organic,C1=CC=C(C=C1)[NH3+].[I-],C6H8IN,6450296,,,,,,,
NLJDBTZLVTWXRG-UHFFFAOYSA-N,t-Butylammonium Iodide,tButylammoniumIodide,201.00,1.6812040000000001,"InChI=1S/C4H11N.HI/c1-4(2,3)5;/h5H2,1-3H3;1H",organic,CC(C)(C)[NH3+].[I-],C4H12IN,22344722,,,,,MS106000-10; sigma: 806102-5G,https://www.sigmaaldrich.com/catalog/product/aldrich/806102?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/22344722
GIAPQOZCVIEHNY-UHFFFAOYSA-N,N-propylammonium Iodide,NPropylammoniumIodide,186.99,1.843205,"InChI=1S/C3H9N.HI/c1-2-3-4;/h2-4H2,1H3;1H",organic,[I-].[NH3+]CCC,C3H10IN,,,,,,,,
QHJPGANWSLEMTI-UHFFFAOYSA-N,Formamidinium Iodide,FormamidiniumIodide,171.97,2.423927,"InChI=1S/CH4N2.HI/c2-1-3;/h1H,(H3,2,3);1H",organic,C(=N)[NH3+].[I-],CH5IN2,,"Model[Sample, Chemical, ""id:rea9jlRR66LO""]","Object[Product, ""id:jLq9jXvv66PE""]",,,greatcell: MS-150000-100,https://www.sigmaaldrich.com/catalog/product/aldrich/806048?lang=en&region=US,PubChem
WXTNTIQDYHIFEG-UHFFFAOYSA-N,"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide",Dabcoiodide,368.00,2.1888,InChI=1S/C6H12N2.2HI/c1-2-8-5-3-7(1)4-6-8;;/h1-6H2;2*1H,organic,C1C[NH+]2CC[NH+]1CC2.[I-].[I-],C6H14I2N2,129880796,,,,,,,
LCTUISCIGMWMAT-UHFFFAOYSA-N,4-Fluoro-Benzylammonium iodide,4FluoroBenzylammoniumIodide,253.06,1.864177,"InChI=1S/C7H8FN.HI/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H",organic,C1(=CC=C(C=C1)F)C[NH3+].[I-],C7H9FIN,,,,,,,,
NOHLSFNWSBZSBW-UHFFFAOYSA-N,4-Fluoro-Phenethylammonium iodide,4FluoroPhenethylammoniumIodide,266.99,1.7402389999999999,"InChI=1S/C8H10FN.HI/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H",organic,C1(=CC=C(C=C1)F)CC[NH3+].[I-],C8H11FIN,,,,,,,,
