name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_out_crystalscore
2018-07-06T15_40_16.425303+00_00_LBL_B3,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.516177888,0.322688335,0.901066478,1,0,0,0.597407075,0.213942366,4.32022594,5.641722579,0.105890899,0.037921462,0.765763626,0.14381236,0.909575987,0.059968898,0.021475956,0.081444854,2.792373883,20.19341014,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_D3,XFYICZOIWSBQSK-UHFFFAOYSA-N,7.044502356,0.354435939,1.119377852,1,0,0,0.762296317,0.241370874,4.797306105,5.43428803,0.140275288,0.044416283,0.882784659,0.184691571,1.067476229,0.074504159,0.02359074,0.098094899,3.158195118,19.87524849,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_F3,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.773797953,0.52004126,1.298447929,1,0,0,0.873855456,0.349987768,4.558766022,5.219268734,0.167428715,0.067056859,0.873449185,0.234485574,1.107934759,0.089369232,0.035793263,0.125162495,2.496817136,13.02550101,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_H3,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.783878009,0.439182665,1.353054405,1,0,0,0.90925256,0.295130751,4.558766022,5.220872138,0.174157217,0.056529013,0.873180936,0.23068623,1.103867166,0.092974049,0.030178085,0.123152134,3.080846566,15.44659785,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_A4,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.30288836,0.284319905,0.832911266,1,0,0,0.546389791,0.186513857,4.134694764,5.7243461,0.095450167,0.032582561,0.722299926,0.128032728,0.850332654,0.055420177,0.018918053,0.07433823,2.929486303,22.16829795,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,1,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_C4,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.881720153,0.296260447,0.785712244,1,0,0,0.529570053,0.199679541,4.638279383,5.716953445,0.092631514,0.034927614,0.811320125,0.127559128,0.938879253,0.051140333,0.01928296,0.070423293,2.652099703,23.22861595,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,1
2018-07-06T15_40_16.425303+00_00_LBL_E4,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.881720153,0.457413108,1.702764203,1,0,0,1.147663073,0.308296435,4.638279383,4.93373063,0.232615673,0.062487488,0.940116056,0.295103162,1.235219218,0.119897814,0.032208119,0.152105932,3.722595991,15.0448687,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,3
2018-07-06T15_40_16.425303+00_00_LBL_G4,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.842396038,0.538803341,1.085139321,1,0,0,0.731383903,0.363153452,4.611774929,5.34959859,0.136717529,0.067884243,0.862078687,0.204601773,1.06668046,0.073421994,0.036456163,0.109878156,2.013980313,12.69924575,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,2
2018-07-06T15_40_16.425303+00_00_LBL_B4,XFYICZOIWSBQSK-UHFFFAOYSA-N,6.576293003,0.382761742,1.026542363,1,0,0,0.682650671,0.254536558,4.373234847,5.508766272,0.123920791,0.046205728,0.793868288,0.170126519,0.963994807,0.069080206,0.025757593,0.094837798,2.681935655,17.18116594,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
2018-07-06T15_40_16.425303+00_00_LBL_D4,XFYICZOIWSBQSK-UHFFFAOYSA-N,7.140292043,0.332515446,0.953538043,1,0,0,0.651266483,0.22710805,4.876819466,5.55686101,0.117200427,0.040869845,0.877621279,0.158070272,1.035691551,0.062419631,0.02176682,0.084186451,2.867650369,21.47356497,105,12600,6.09,25.96,22.85,3.3,5.17,17.09,2.59,6.59,5.88,112.02,215.57,164.65,50.92,61.53,154.04,27.64,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_1.1,1,0,0,22.85,-1,4
